RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_v2_000040,3.4,1.1,0.003,0.01,500,30,75,1,15,50,21016.21273,42.03242546,42.28926659,19.57001693,0,78.31443024,183.5,224.8953275,210.5,116.7222311,0.3823656184,2.288999693
run_v2_000041,3.4,1.1,0.003,0.01,500,30,80,1,15,50,16201.97758,32.40395516,33.40283203,14.18224416,0,62.0790062,189.5,232.6016214,220.5,118.0877164,0.3145087801,2.223624917
run_v2_000042,3.4,1.1,0.003,0.01,500,30,85,1,15,50,12746.61821,25.49323642,25.99800014,11.07783081,0,48.96976089,151.5,239.4342252,228.5,117.6229524,0.2650574542,2.191457866
run_v2_000043,3.4,1.1,0.003,0.01,500,30,90,1,15,50,10309.43042,20.61886083,21.00843048,8.763668917,0,42.32235718,156.5,244.3515351,234.5,118.4460397,0.222489515,2.158705723
run_v2_000044,3.4,1.1,0.003,0.01,500,30,95,1,15,50,8569.248272,17.13849654,17.27647877,7.403758608,0,36.25408554,207.5,248.759687,239.5,117.9886244,0.1985719983,2.144599089
run_v2_000045,3.4,1.1,0.003,0.01,500,30,100,1,15,50,7080.893538,14.16178708,14.26283169,6.180255808,0,27.61923218,136.5,252.1616636,243.5,117.6401429,0.1808100657,2.146283745
run_v2_000046,3.4,1.1,0.0035,0.01,500,30,60,1,15,50,62220.26178,124.4405236,111.5514603,80.36529064,3.744777679,279.0015259,105.5,181.2089178,160.5,109.0631887,0.7363475046,2.886440179
run_v2_000047,3.4,1.1,0.0035,0.01,500,30,65,1,15,50,37821.37813,75.64275627,71.09251404,43.44636074,3.692843199,162.1552734,99.5,195.9092109,177.5,112.1376975,0.6121537624,2.648983047
run_v2_000048,3.4,1.1,0.0035,0.01,500,30,70,1,15,50,25850.86149,51.70172298,50.66935921,26.98021465,1.519180059,105.6113052,96.5,208.8206547,191.5,114.4885823,0.5040893758,2.450232068
run_v2_000049,3.4,1.1,0.0035,0.01,500,30,75,1,15,50,18869.92292,37.73984584,38.04743195,18.48912003,0.8184683323,84.15447235,137.5,217.1015411,202.5,115.6904078,0.4358110311,2.369119773
run_v2_000050,3.4,1.1,0.0035,0.01,500,30,80,1,15,50,14417.80359,28.83560717,29.6161623,13.58645291,0,57.16252518,145.5,224.661195,210.5,116.4758628,0.3818739148,2.290735568
run_v2_000051,3.4,1.1,0.0035,0.01,500,30,85,1,15,50,11415.84292,22.83168585,23.40589905,10.21287838,0,43.95420456,197.5,230.7637381,217.5,117.5761499,0.32392887,2.237906293
run_v2_000052,3.4,1.1,0.0035,0.01,500,30,90,1,15,50,9238.205055,18.47641011,18.58582973,8.33269202,0,36.7381134,207.5,237.2482104,225.5,117.0018539,0.2912936128,2.231876716
run_v2_000053,3.4,1.1,0.0035,0.01,500,30,95,1,15,50,7490.423487,14.98084697,15.45658207,6.664152559,0,30.09058189,221.5,241.2486101,231.5,117.3865864,0.2472984567,2.197267074
run_v2_000054,3.4,1.1,0.0035,0.01,500,30,100,1,15,50,6177.166181,12.35433236,12.84673071,5.259124683,0,26.03637314,126.5,245.6924642,235.5,119.1894585,0.209683801,2.112107433
run_v2_000055,3.4,1.1,0.004,0.01,500,30,60,1,15,50,56835.38459,113.6707692,98.37428284,77.32446069,3.789955378,262.9137573,106.5,175.4651708,154.5,106.7942062,0.784768053,3.024267037
run_v2_000056,3.4,1.1,0.004,0.01,500,30,65,1,15,50,34411.87411,68.82374821,65.71847916,41.82032315,1.871463537,146.8372192,81.5,190.6285913,171.5,110.1829177,0.6587428639,2.748986204
run_v2_000057,3.4,1.1,0.004,0.01,500,30,70,1,15,50,23154.27064,46.30854128,43.89425468,25.88328412,0,95.3666687,111.5,202.6897706,185.5,112.1166324,0.558406096,2.567935422
run_v2_000058,3.4,1.1,0.004,0.01,500,30,75,1,15,50,16953.28699,33.90657399,32.22074509,17.90259571,0,71.21499634,118.5,211.0515673,195.5,113.5713289,0.4937799833,2.475612616
run_v2_000059,3.4,1.1,0.004,0.01,500,30,80,1,15,50,12787.10742,25.57421485,26.69778442,12.78175067,0,56.03305435,138.5,219.5188824,204.5,114.7151531,0.4207519049,2.362687121
run_v2_000060,3.4,1.1,0.004,0.01,500,30,85,1,15,50,10091.91126,20.18382252,20.55085087,9.733328033,0,46.41751862,152.5,225.6471542,212.5,115.1534101,0.3652917816,2.326414808
run_v2_000061,3.4,1.1,0.004,0.01,500,30,90,1,15,50,8027.624022,16.05524804,16.05947351,7.595010254,0,34.20180893,131.5,231.3069839,219.5,116.3155657,0.3344081045,2.270174003
run_v2_000062,3.4,1.1,0.004,0.01,500,30,95,1,15,50,6637.555895,13.27511179,13.32299185,6.214091733,0,28.08535194,94.5,235.1612742,224.5,115.9244775,0.2967442088,2.257403319
run_v2_000063,3.4,1.1,0.004,0.01,500,30,100,1,15,50,5505.986452,11.0119729,11.35066509,5.03597696,0,25.49311066,169.5,240.0205114,229.5,117.1288791,0.2568795387,2.208642117
run_v2_000064,3.4,1.1,0.0045,0.01,500,30,60,1,15,50,51861.48251,103.722965,87.63299561,73.95469457,5.402680397,254.1147919,101.5,169.9329765,148.5,104.6692675,0.8269339224,3.145939085
run_v2_000065,3.4,1.1,0.0045,0.01,500,30,65,1,15,50,31320.06703,62.64013407,57.43681908,40.26467394,1.816877604,145.1975555,102.5,184.245073,164.5,108.0559806,0.7085097837,2.876749477
run_v2_000066,3.4,1.1,0.0045,0.01,500,30,70,1,15,50,21140.70852,42.28141704,39.31105804,25.2819502,1.575154066,92.0076828,150.5,196.0267696,177.5,110.0403844,0.6198393255,2.680810021
run_v2_000067,3.4,1.1,0.0045,0.01,500,30,75,1,15,50,15134.55552,30.26911104,29.67748642,17.01025179,0.8861673474,67.43283081,111.5,204.6840188,187.5,112.0324697,0.550637753,2.570147717
run_v2_000068,3.4,1.1,0.0045,0.01,500,30,80,1,15,50,11393.27056,22.78654113,22.31820011,12.02616359,0,50.28611374,152.5,212.1616239,196.5,113.3102982,0.4731222777,2.451910829
run_v2_000069,3.4,1.1,0.0045,0.01,500,30,85,1,15,50,9045.525124,18.09105025,17.07529736,9.388087069,0,42.43912506,128.5,218.3594771,204.5,113.8644909,0.4366502833,2.42497384
run_v2_000070,3.4,1.1,0.0045,0.01,500,30,90,1,15,50,7211.136741,14.42227348,14.10097504,7.122789737,0,31.59000206,135.5,223.6368857,209.5,115.4950843,0.3921258773,2.344273782
run_v2_000071,3.4,1.1,0.0045,0.01,500,30,95,1,15,50,5880.625498,11.761251,11.88713789,5.577786492,0,25.33098602,158.5,228.223473,217.5,116.071853,0.3279379163,2.282006059
run_v2_000072,3.4,1.1,0.0045,0.01,500,30,100,1,15,50,4831.354973,9.662709945,9.837622643,4.639665231,0,22.07726288,175.5,233.1776431,221.5,115.933473,0.3124925324,2.251220784
run_v2_000073,3.4,1.1,0.005,0.01,500,30,60,1,15,50,48057.91311,96.11582622,78.71111679,72.23654018,1.7640661,238.0419312,87.5,164.4234412,143.5,102.1047504,0.8754075269,3.298813405
run_v2_000074,3.4,1.1,0.005,0.01,500,30,65,1,15,50,28572.6772,57.14535441,49.18316269,38.57935066,0.9023492336,140.9048462,104.5,178.7842944,158.5,105.9976782,0.7511395728,2.984672963
run_v2_000075,3.4,1.1,0.005,0.01,500,30,70,1,15,50,19112.56297,38.22512595,35.2891655,23.95233894,0.8944362998,86.71662903,133.5,189.620927,171.5,108.2435444,0.6612984569,2.795278638
run_v2_000076,3.4,1.1,0.005,0.01,500,30,75,1,15,50,13634.12871,27.26825742,25.65721607,15.93531336,0.868911922,62.67750931,117.5,199.7589857,181.5,110.5105919,0.5806971586,2.625367044
run_v2_000077,3.4,1.1,0.005,0.01,500,30,80,1,15,50,10267.14304,20.53428608,19.8653326,11.55317335,0,45.97078705,146.5,206.6963561,191.5,111.2972253,0.5258030769,2.558976985
run_v2_000078,3.4,1.1,0.005,0.01,500,30,85,1,15,50,7881.651732,15.76330346,15.25036812,8.477292261,0,35.90501785,127.5,213.5661822,197.5,112.7285703,0.4719223327,2.461808819
run_v2_000079,3.4,1.1,0.005,0.01,500,30,90,1,15,50,6393.221913,12.78644383,12.46367741,6.752235309,0,27.81288528,167.5,218.0692227,202.5,113.4440526,0.4422586078,2.43340853
run_v2_000080,3.4,1.1,0.005,0.01,500,30,95,1,15,50,5108.817463,10.21763493,10.19411421,5.16559745,0,22.80404663,188.5,224.7169625,212.5,114.3863742,0.3752487584,2.335897055
run_v2_000081,3.4,1.1,0.005,0.01,500,30,100,1,15,50,4250.429088,8.500858176,8.188930988,4.277308578,0,18.53047752,99.5,227.8661259,214.5,115.1247851,0.3540466701,2.314408789
run_v2_000082,3.4,1.1,0.001,0.02,500,30,60,1,15,50,121184.9322,242.3698643,193.9170151,184.325254,3.949522734,574.6787109,108.5,165.2429047,145.5,100.0799857,0.86679219,3.335507856
run_v2_000083,3.4,1.1,0.001,0.02,500,30,65,1,15,50,79887.77038,159.7755408,141.4949265,106.4980746,4.903619766,363.2028809,97.5,183.9402039,165.5,105.3038049,0.7153219593,2.935639472
run_v2_000084,3.4,1.1,0.001,0.02,500,30,70,1,15,50,58120.15116,116.2403023,109.5282173,71.26648284,2.906517506,254.8380432,134.5,197.875284,180.5,107.4724862,0.607417579,2.737281662
run_v2_000085,3.4,1.1,0.001,0.02,500,30,75,1,15,50,44647.33137,89.29466273,88.4262352,49.52940122,2.906216383,185.737915,167.5,210.2478946,195.5,110.2328949,0.4927591399,2.531711784
