RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000038,3.4,1.1,0.003,0.01,100,30,65,1,15,50,8586.657242,85.86657242,95.60351181,44.07317524,1.894823074,158.4820709,86.5,64.19993486,67.5,23.62049064,-0.4381538794,2.275328082
run_000039,3.4,1.1,0.003,0.01,100,30,70,1,15,50,5008.798072,50.08798072,53.46942329,28.18359081,1.850161076,101.4159393,94.5,65.53476587,69.5,23.29145423,-0.5188489251,2.395691148
run_000040,3.4,1.1,0.003,0.01,100,30,75,1,15,50,3282.675323,32.82675323,34.0345993,19.59220982,0,69.14839935,90.5,66.51630444,69.5,22.78664842,-0.5044840385,2.342348216
run_000041,3.4,1.1,0.003,0.01,100,30,80,1,15,50,2255.224913,22.55224913,24.25612068,13.57839024,0.9020801783,49.18041611,75.5,66.23625551,69.5,23.07304518,-0.5387426554,2.439042782
run_000042,3.4,1.1,0.003,0.01,100,30,85,1,15,50,1493.051339,14.93051339,14.98299694,9.611182628,0,34.81953812,92.5,67.34834779,70.5,22.78481886,-0.5872900416,2.569293325
run_000043,3.4,1.1,0.003,0.01,100,30,90,1,15,50,1210.119602,12.10119602,11.54533005,7.725727941,0,27.66610527,97.5,66.54516129,71.5,23.09141547,-0.5635686169,2.396300456
run_000044,3.4,1.1,0.003,0.01,100,30,95,1,15,50,981.0092061,9.810092061,9.251508713,6.651517316,0,24.79681969,94.5,67.29735143,71.5,22.8051903,-0.6416072464,2.636893008
run_000045,3.4,1.1,0.003,0.01,100,30,100,1,15,50,668.5151602,6.685151602,6.771028519,4.836532054,0,17.35361862,96.5,68.33848276,72.5,22.61069016,-0.5946541248,2.505685285
run_000046,3.4,1.1,0.0035,0.01,100,30,60,1,15,50,16484.07545,164.8407545,184.4804306,78.57341561,1.909223676,265.1242981,91.5,63.04007798,65.5,23.90754055,-0.3679936238,2.163886938
run_000047,3.4,1.1,0.0035,0.01,100,30,65,1,15,50,8218.084373,82.18084373,96.13423538,42.93815893,3.616909266,148.0664673,97.5,64.49600572,67.5,23.47557247,-0.4332054826,2.286612262
run_000048,3.4,1.1,0.0035,0.01,100,30,70,1,15,50,4734.550088,47.34550088,50.02987099,26.5266803,1.783888578,90.72524261,90.5,65.33009004,68.5,23.18890285,-0.453540125,2.29062001
run_000049,3.4,1.1,0.0035,0.01,100,30,75,1,15,50,3123.926861,31.23926861,33.80404091,17.88877254,0,67.8658371,93.5,65.69189043,68.5,23.32461779,-0.4865584706,2.314267895
run_000050,3.4,1.1,0.0035,0.01,100,30,80,1,15,50,2110.087136,21.10087136,22.23773766,12.98148331,0,49.31046677,96.5,66.9219891,70.5,23.05626774,-0.5287787553,2.372281292
run_000051,3.4,1.1,0.0035,0.01,100,30,85,1,15,50,1510.719003,15.10719003,15.47964096,9.291351949,0,38.64214325,86.5,66.63832646,70.5,22.88251686,-0.5100550242,2.356364869
run_000052,3.4,1.1,0.0035,0.01,100,30,90,1,15,50,1123.973961,11.23973961,10.7137537,7.262082076,0,26.42812729,92.5,66.86256508,70.5,23.16357657,-0.5206475165,2.406864767
run_000053,3.4,1.1,0.0035,0.01,100,30,95,1,15,50,895.7149787,8.957149787,8.297778368,6.111361064,0,23.39376831,88.5,67.6637066,72.5,23.05198226,-0.6441510485,2.52756477
run_000054,3.4,1.1,0.0035,0.01,100,30,100,1,15,50,675.4553963,6.754553963,6.441956282,4.60407633,0,17.94061279,93.5,67.56968713,72.5,23.79162566,-0.6416565609,2.541246566
run_000055,3.4,1.1,0.004,0.01,100,30,60,1,15,50,16026.15254,160.2615254,184.60186,75.04325786,0.9524940252,253.0842438,76.5,62.7047811,65.5,23.87691504,-0.3520071646,2.154425885
run_000056,3.4,1.1,0.004,0.01,100,30,65,1,15,50,8146.767027,81.46767027,87.44826126,42.60870793,2.792509794,142.4921875,89.5,64.52679016,67.5,23.36456197,-0.4299786255,2.266319873
run_000057,3.4,1.1,0.004,0.01,100,30,70,1,15,50,4661.334851,46.61334851,51.44846916,25.34101469,1.775313854,88.91558075,88.5,65.04072698,68.5,23.34023308,-0.4615531293,2.300075097
run_000058,3.4,1.1,0.004,0.01,100,30,75,1,15,50,2926.266806,29.26266806,29.4565897,16.98401879,0,63.94221497,91.5,66.01802944,69.5,23.38773655,-0.5155049308,2.348766182
run_000059,3.4,1.1,0.004,0.01,100,30,80,1,15,50,2077.919616,20.77919616,22.19932175,12.17834234,0,43.10923767,90.5,66.00022316,69.5,23.31563657,-0.5274015181,2.385473694
